# Route,Link,Direction,STT,AccSTT,TCS1,TCS2
 1, 1, 1, 268, 268,2127,175
 1, 1, 2,  62,  62,175,2127
 1, 2, 1, 823,1091,175,174
 1, 2, 2, 121, 183,174,175
 1, 3, 1,   8,1099,174,615
 1, 3, 2,  62, 245,615,174
 1, 4, 1,  32,1131,615,243
 1, 4, 2,  16, 261,243,615
 1, 5, 1,  31,1162,243,448
 1, 5, 2,  16, 277,448,243
 1, 6, 1, 370,1532,448,118
 1, 6, 2,  17, 294,118,448
 1, 7, 1,  16,1548,118,496
 1, 7, 2,  16, 310,496,118
 1, 8, 1, 130,1678,496,610
 1, 8, 2,   9, 319,610,496
 1, 9, 1, 108,1786,610,103
 1, 9, 2,  33, 352,103,610
 1,10, 1,   7,1793,103,614
 1,10, 2,  23, 375,614,103
 1,11, 1,  18,1811,614,613
 1,11, 2,  18, 393,613,614
 1,12, 1,  24,1835,613,104
 1,12, 2,   9, 402,104,613
 1,13, 1,  32,1867,104,758
 1,13, 2,   5, 407,758,104
 2, 1, 1,  18,  18,356,183
 2, 1, 2,  18,  18,183,356
 2, 2, 1, 392, 410,183,196
 2, 2, 2,  27,  45,196,183
 2, 3, 1,  59, 469,196,26
 2, 3, 2, 151, 196,26,196
 2, 4, 1,  84, 553,26,193
 2, 4, 2, 440, 636,193,26
 2, 5, 1, 472,1025,193,37
 2, 5, 2,  45, 681,37,193
 2, 6, 1, 219,1244,37,152
 2, 6, 2,  44, 725,152,37
 2, 7, 1,  32,1276,152,760
 2, 7, 2, 246, 971,760,152
 3, 1, 1,  58,  58,269,39
 3, 1, 2,  47,  47,39,269
 3, 2, 1,  28,  86,39,116
 3, 2, 2,  30,  77,116,39
 3, 3, 1,  75, 161,116,133
 3, 3, 2,  63, 140,133,116
 4, 1, 1, 115, 115,515,597
 4, 1, 2, 108, 108,597,515
 4, 2, 1, 123, 238,597,470
 4, 2, 2,  44, 152,470,597
 4, 3, 1,  38, 276,470,125
 4, 3, 2,  18, 170,125,470
 4, 4, 1, 230, 506,125,667
 4, 4, 2, 352, 522,667,125
 4, 5, 1,  44, 550,667,422
 4, 5, 2,  19, 541,422,667
 4, 6, 1,  75, 625,422,151
 4, 6, 2, 395, 936,151,422
 4, 7, 1,  72, 697,151,20
 4, 7, 2, 282,1218,20,151
 4, 8, 1,   7, 704,20,741
 4, 8, 2,   7,1225,741,20
 4, 9, 1,  18, 722,741,773
 4, 9, 2,  18,1243,773,741
 4,10, 1,  80, 802,773,152
 4,10, 2,   5,1248,152,773
 5, 1, 1, 324, 324,4012,510
 5, 1, 2,  90,  90,510,4012
 5, 2, 1,  45, 369,510,528
 5, 2, 2,  47, 137,528,510
 5, 3, 1, 147, 516,528,327
 5, 3, 2,  14, 151,327,528
 5, 4, 1,  43, 559,327,458
 5, 4, 2, 215, 366,458,327
 5, 5, 1,  31, 590,458,459
 5, 5, 2,  98, 464,459,458
 5, 6, 1,  88, 678,459,405
 5, 6, 2,  86, 550,405,459
 6, 1, 1,  34,  34,405,150
 6, 1, 2, 323, 323,150,405
 6, 2, 1,  25,  59,150,148
 6, 2, 2,  55, 378,148,150
 6, 3, 1,  42, 101,148,149
 6, 3, 2,  31, 409,149,148
 6, 4, 1,  75, 176,149,44
 6, 4, 2, 110, 519,44,149
 6, 5, 1,  29, 205,44,351
